year,firm_group,n_obs,n_firms,aum_total,emp_total,rev_total,aum_per_employee_mean,aum_per_employee_median,revenue_per_employee_mean,revenue_per_employee_median,aum_per_employee_total,revenue_per_employee_total
2024,Bank of America / Merrill Lynch family,1,1,,213.193,192434.0,,,902.6281350701007,902.6281350701007,,902.6281350701007
2025,Bank of America / Merrill Lynch family,1,1,,213.207,191567.0,,,898.5023943866759,898.5023943866759,,898.5023943866759
1958,JPMorgan family,1,1,,,,,,,,,
1959,JPMorgan family,1,1,,,136.718,,,,,,
1960,JPMorgan family,1,1,,7.405,169.045,,,22.828494260634702,22.828494260634702,,22.828494260634702
1961,JPMorgan family,1,1,,7.92,172.132,,,21.733838383838386,21.733838383838386,,21.733838383838386
1962,JPMorgan family,1,1,,8.247,192.544,,,23.34715654177277,23.34715654177277,,23.34715654177277
1963,JPMorgan family,1,1,,8.302,,,,,,,
1964,JPMorgan family,1,1,,8.314,,,,,,,
1965,JPMorgan family,1,1,,8.348,272.664,,,32.66219453761379,32.66219453761379,,32.66219453761379
1966,JPMorgan family,1,1,,9.035,295.852,,,32.74510237963475,32.74510237963475,,32.74510237963475
1967,JPMorgan family,1,1,,9.707,352.702,,,36.33480993097764,36.33480993097764,,36.33480993097764
1968,JPMorgan family,1,1,,11.049,418.626,,,37.88813467282107,37.88813467282107,,37.88813467282107
1969,JPMorgan family,1,1,,12.079,556.784,,,46.09520655683417,46.09520655683417,,46.09520655683417
1970,JPMorgan family,1,1,,,665.156,,,,,,
1971,JPMorgan family,1,1,,12.5,639.924,,,51.19392,51.19392,,51.19392
1972,JPMorgan family,1,1,,12.6,695.819,,,55.223730158730156,55.223730158730156,,55.223730158730156
1973,JPMorgan family,1,1,,12.0,1149.528,,,95.794,95.794,,95.794
1974,JPMorgan family,1,1,,13.158,1791.923,,,136.18505851953185,136.18505851953185,,136.18505851953185
1975,JPMorgan family,1,1,,15.748,1789.675,,,113.64458978917958,113.64458978917958,,113.64458978917958
1976,JPMorgan family,1,1,,15.543,1716.574,,,110.4403268352313,110.4403268352313,,110.4403268352313
1977,JPMorgan family,1,1,,16.285,1871.234,,,114.90537304267731,114.90537304267731,,114.90537304267731
1978,JPMorgan family,1,1,,17.237,2379.356,,,138.0377095782329,138.0377095782329,,138.0377095782329
1979,JPMorgan family,1,1,,17.494,3273.302,,,187.10998056476507,187.10998056476507,,187.10998056476507
1980,JPMorgan family,1,1,,18.223,4294.993,,,235.69077539373322,235.69077539373322,,235.69077539373322
1981,JPMorgan family,1,1,,19.713,5636.4,,,285.9229949779333,285.9229949779333,,285.9229949779333
1982,JPMorgan family,1,1,,19.535,5445.074,,,278.7342718198106,278.7342718198106,,278.7342718198106
1983,JPMorgan family,1,1,,19.464,4903.242,,,251.9133785450062,251.9133785450062,,251.9133785450062
1984,JPMorgan family,1,1,,20.126,5857.008,,,291.01699294444995,291.01699294444995,,291.01699294444995
1985,JPMorgan family,1,1,34.203,19.691,5650.558,1.736986440505815,1.736986440505815,286.961454471586,286.961454471586,1.736986440505815,286.961454471586
1986,JPMorgan family,1,1,116.667,20.993,5488.023,5.557423903205831,5.557423903205831,261.4215690944601,261.4215690944601,5.557423903205831,261.4215690944601
1987,JPMorgan family,1,1,605.842,28.597,6754.799,21.18550896947232,21.18550896947232,236.20656012868483,236.20656012868483,21.18550896947232,236.20656012868483
1988,JPMorgan family,1,1,860.741,27.225,7643.997,31.61583103764922,31.61583103764922,280.7712396694215,280.7712396694215,31.61583103764922,280.7712396694215
1989,JPMorgan family,1,1,1147.664,29.139,8227.097,39.385840282782524,39.385840282782524,282.3397165311095,282.3397165311095,39.385840282782524,282.3397165311095
1990,JPMorgan family,1,1,1827.092,26.689,7966.499,68.45861590917607,68.45861590917607,298.4937240061449,298.4937240061449,68.45861590917607,298.4937240061449
1991,JPMorgan family,1,1,3443.93,43.169,14128.0,79.77784984595428,79.77784984595428,327.2718849174176,327.2718849174176,79.77784984595428,327.2718849174176
1992,JPMorgan family,1,1,5876.058,39.687,12174.0,148.06001965379093,148.06001965379093,306.75032126388993,306.75032126388993,148.06001965379093,306.75032126388993
1993,JPMorgan family,1,1,11440.479,41.567,12427.0,275.2298457911324,275.2298457911324,298.9631197825198,298.9631197825198,275.2298457911324,298.9631197825198
1994,JPMorgan family,1,1,14964.92,42.13,12685.0,355.20816520294323,355.20816520294323,301.0918585331118,301.0918585331118,355.20816520294323,301.0918585331118
1995,JPMorgan family,1,1,21083.337,72.696,26368.0,290.0205926048201,290.0205926048201,362.7159678661825,362.7159678661825,290.0205926048201,362.7159678661825
1996,JPMorgan family,1,1,31354.132,67.785,27421.0,462.55265914287827,462.55265914287827,404.5290255956333,404.5290255956333,462.55265914287827,404.5290255956333
1997,JPMorgan family,1,1,43650.555,69.033,30381.0,632.3143279301204,632.3143279301204,440.0938681500152,440.0938681500152,632.3143279301204,440.0938681500152
1998,JPMorgan family,1,1,59877.6,72.683,32379.0,823.8184995115776,823.8184995115776,445.48243743378777,445.48243743378777,823.8184995115776,445.48243743378777
1999,JPMorgan family,1,1,83577.7,74.801,33544.0,1117.333992861058,1117.333992861058,448.44320263098086,448.44320263098086,1117.333992861058,448.44320263098086
2000,JPMorgan family,1,1,99700.2,,58934.0,,,,,,
2001,JPMorgan family,1,1,165022.1,95.812,50429.0,1722.3531499185906,1722.3531499185906,526.332818436104,526.332818436104,1722.3531499185906,526.332818436104
2002,JPMorgan family,1,1,148802.0,94.335,43372.0,1577.3784915460858,1577.3784915460858,459.76572852069756,459.76572852069756,1577.3784915460858,459.76572852069756
2003,JPMorgan family,1,1,151794.0,93.453,44363.0,1624.281724503226,1624.281724503226,474.709212117321,474.709212117321,1624.281724503226,474.709212117321
2004,JPMorgan family,1,1,158257.2,160.968,56931.0,983.1593857164158,983.1593857164158,353.6789920978083,353.6789920978083,983.1593857164158,353.6789920978083
2005,JPMorgan family,1,1,206519.7,168.847,79902.0,1223.117378455051,1223.117378455051,473.22131870865337,473.22131870865337,1223.117378455051,473.22131870865337
2006,JPMorgan family,1,1,241447.6,174.36,99302.0,1384.7648543243863,1384.7648543243863,569.5228263363156,569.5228263363156,1384.7648543243863,569.5228263363156
2007,JPMorgan family,1,1,295087.2,180.667,116353.0,1633.3209717325246,1633.3209717325246,644.0191069758174,644.0191069758174,1633.3209717325246,644.0191069758174
